rho e p
6.295e-12 5.856635799560546e-09 6.081587444152832e-15
1.5809999999999998e-11 1.4708680340270996e-08 3.0999915232849124e-14
3.972e-11 3.693942795410156e-08 1.517239644973755e-13
9.976e-11 9.27826870941162e-08 7.184639806671144e-13
2.506e-10 2.330420107574463e-07 3.2874512271118163e-12
6.294e-10 5.856635799560549e-07 1.4467942615356444e-11
1.5809999999999998e-09 1.4708680340270996e-06 6.087507224273681e-11
3.972e-09 3.69591605545044e-06 2.4409226698303223e-10
4.999999999999999e-09 4.652947174987793e-06 3.281531446990967e-10
9.976e-09 9.28418848953247e-06 8.956627322845458e-10
1.99e-08 1.852299199813843e-05 2.391591168823242e-09
3.972e-08 3.69591605545044e-05 6.2789134481811515e-09
7.924e-08 7.376046030578613e-05 1.625176969177246e-08
1.5810000000000002e-07 0.00014718546640472412 4.167525205078125e-08
1.9900000000000002e-07 0.00018532858298339844 5.4540907513427736e-08
3.1550000000000004e-07 0.00029381841999816895 1.0166235727539065e-07
5.000000000000001e-07 0.0004656893695068359 1.890580444595337e-07
6.294000000000001e-07 0.0005862555579681396 2.577077612609864e-07
7.924e-07 0.0007381965810699463 3.143403244171143e-07
9.976000000000002e-07 0.0009294054789733886 4.2819742874145513e-07
1.581e-06 0.001473038620071411 7.938425142059325e-07
2.506e-06 0.0023363398876953124 1.4704733820190427e-06
3.972e-06 0.0037038090956115727 2.7230988555908203e-06
5e-06 0.004662813475189209 3.5341087321472165e-06
6.294e-06 0.0058665020997619634 4.8068614581298834e-06
7.924e-06 0.007393805370941161 6.541357033538818e-06
9.976e-06 0.009305894349975587 8.893483001556397e-06
1.256e-05 0.01172313789932251 1.2096084046936036e-05
1.581e-05 0.014758011841278076 1.579002684234619e-05
1.99e-05 0.018584163059387208 2.1252010633850096e-05
2.506e-05 0.023402864077758788 2.8888526989746087e-05
3.155e-05 0.029480505001831053 3.713675395812988e-05
3.972e-05 0.03711702135772705 5.049572443084717e-05
5e-05 0.04674653035430908 6.864971680145264e-05
6.294e-05 0.05884261440124512 9.331546730499267e-05
7.923999999999998e-05 0.07415511231384275 0.00012688062059020998
9.976e-05 0.0933351999053955 0.0001620835797088623
0.0001105 0.1034382913116455 0.00018049409588470456
0.0001256 0.1175668332000732 0.00020541637019348143
0.0001581 0.1480931660232544 0.00027921629570007325
0.000199 0.1865125390075683 0.0003630798474121094
